# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface
🌊港澳,#genre#


📺VPN直播频道,#genre#






八大第一,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/79c7f8374ac31ebe8db8767247903099/master.m3u8
八大综合,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/ae1cdc3692d1462b133e55c0034792f1/master.m3u8
TVBS新闻台,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/6cbccb1d36d4376365fd0f8cf81cf7ed/master.m3u8
TVBS欢乐台,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/588a30ab3ea51c5d1115b31f7bd184ca/master.m3u8
TVBS,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/455473817406ed73cc2380985faa0089/master.m3u8
中天娱乐,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/49c038c62b35cb8770f4e822f5c5c274/master.m3u8
中天综合,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/d0d2ddd39deb23017e3f9042d82a6610/master.m3u8
中天新闻,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/895295ca4e995d3e3145bde94bfcd07c/master.m3u8
东森综合,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/1a5ef09d70c368daebc9b8168fb7488d/master.m3u8
东森幼幼,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/1f2c63fbb15a50060ad3618ab2f0fc14/master.m3u8
东森电影,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/43d802c11cd88f666d30fe43e1da7481/master.m3u8
东森戏剧,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/6b1ff746f765a163099c71d0681f42e3/master.m3u8
东森新闻,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/d0a3571185b4842894e6f8f42f29db40/master.m3u8
东森财经新闻,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/0583a664cc53441ef3e6c52fb9605d0c/master.m3u8
东森洋片,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/4317e91342884a5d47b1850d1d5c3a87/master.m3u8
纬来电影,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/3907d5b3358742872aefb3628a35892b/master.m3u8
纬来体育,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/269103c10592f5007fd28c4f1b96c1d3/master.m3u8
纬来综合,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/0c612b40ffe8f403e45615d7fbe8d046/master.m3u8
纬来日本,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/4b3c4af56cb272771e374711c3e09723/master.m3u8
纬来育乐,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/c8d3f82e1261e052f893792c1ca5bc5e/master.m3u8
纬来戏剧,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/ccf1177fd690fab1996138027b764720/master.m3u8
靖天欢乐台,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/b6cf41f07ffc26cca4d89b3148fe950a/master.m3u8
靖天综合,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/f55a05caf567694d19a472957e9edbb2/master.m3u8
靖天卡通,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/7121f93baf03c143dc88fcbe35b332e3/master.m3u8
靖天资讯,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/9a9d02e52f85a43b61e27895f74cfae5/master.m3u8
靖天戏剧,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/b6470a7ab9d3bcd9a1a13ef33128abb1/master.m3u8
靖天日本,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/ccc494fbbbf9a526ffe5dfa40aa86e1d/master.m3u8
靖天国际,http://127.0.0.1:17173/172.247.189.85:16000/stream/7c9b36ba90119f559d899439789a3fb657cc1475b90ac0f0-ea25dbad092df70f31643846a89941c8/183a114115fdf2cb54eda5455dc4f924/master.m3u8
